accession	formula	ms.mode	ms.level	peak.mztheo	peak.intensity	peak.relative.intensity	peak.formula	msprecannot	msprecmz	peak.attr
AU200951	C7H5F3O	neg	2	161.0238	38176	100	C7H4F3O-	[M-H]-	161.022	[M-H]-
AU200951	C7H5F3O	neg	2	162.0274	1780	4.604605	C6[13]CH4F3O-	[M-H]-	161.022	NA
AU200951	C7H5F3O	neg	2	141.0167	616	1.601602	C7H3F2O-	[M-H]-	161.022	NA
AU200952	C7H5F3O	neg	2	161.0246	6180	100	C7H4F3O-	[M-H]-	161.022	[M-H]-
AU200952	C7H5F3O	neg	2	141.0184	1384	22.32232	C7H3F2O-	[M-H]-	161.022	NA
AU200952	C7H5F3O	neg	2	121.0113	1180	19.01902	C7H2FO-	[M-H]-	161.022	NA
AU200952	C7H5F3O	neg	2	162.0282	388	6.206206	C6[13]CH4F3O-	[M-H]-	161.022	NA
AU200953	C7H5F3O	neg	2	121.0113	828	100	C7H2FO-	[M-H]-	161.022	NA
AU200953	C7H5F3O	neg	2	141.0174	300	36.13614	C7H3F2O-	[M-H]-	161.022	NA
AU325851	C10H12N2O3S	neg	2	239.0502	4580	100	C10H11N2O3S-	[M-H]-	239.0496	[M-H]-
AU325851	C10H12N2O3S	neg	2	240.0525	468	10.21021	C9[13]CH11N2O3S-	[M-H]-	239.0496	NA
AU325851	C10H12N2O3S	neg	2	241.0471	312	6.806807	C10H11N2O3[34]S-	[M-H]-	239.0496	NA
AU341051	C9H10Cl2N2O	neg	2	231.0102	30800	100	C9H9Cl2N2O- [M-H]-	[M-H]-	231.0097	NA
AU341051	C9H10Cl2N2O	neg	2	233.0077	13532	43.84384	C9H9Cl[37]ClN2O-	[M-H]-	231.0097	NA
AU341051	C9H10Cl2N2O	neg	2	232.0129	2024	6.506507	C8[13]CH9Cl2N2O-	[M-H]-	231.0097	NA
AU341051	C9H10Cl2N2O	neg	2	185.9529	1672	5.405405	C7H2Cl2NO-	[M-H]-	231.0097	NA
AU341051	C9H10Cl2N2O	neg	2	187.9496	868	2.802803	C7H2Cl[37]ClNO-	[M-H]-	231.0097	NA
AU341051	C9H10Cl2N2O	neg	2	159.9737	844	2.702703	C6H4Cl2N-	[M-H]-	231.0097	NA
AU341051	C9H10Cl2N2O	neg	2	161.9711	404	1.301301	C6H4Cl[37]ClN-	[M-H]-	231.0097	NA
AU158001	C17H19NO3	pos	2	286.1456	1073792	100	C17H20NO3+	[M+H]+	286.1438	[M+H]+
AU158001	C17H19NO3	pos	2	287.1488	157332	14.61461	C16[13]CH20NO3+	[M+H]+	286.1438	NA
AU158001	C17H19NO3	pos	2	288.1514	15604	1.401401	C15[13]C2H20NO3+	[M+H]+	286.1438	NA
AU158002	C17H19NO3	pos	2	286.1457	1338896	100	C17H20NO3+	[M+H]+	286.1438	[M+H]+
AU158002	C17H19NO3	pos	2	287.1489	227244	16.91692	C16[13]CH20NO3+	[M+H]+	286.1438	NA
AU158002	C17H19NO3	pos	2	229.0869	20980	1.501502	C14H13O3+	[M+H]+	286.1438	NA
AU158002	C17H19NO3	pos	2	288.1513	19640	1.401401	C15[13]C2H20NO3+	[M+H]+	286.1438	NA
AU158002	C17H19NO3	pos	2	201.0918	19520	1.401401	C13H13O2+	[M+H]+	286.1438	NA
AU158002	C17H19NO3	pos	2	268.1343	8808	0.6006	C17H18NO2+	[M+H]+	286.1438	NA
AU158002	C17H19NO3	pos	2	211.076	8660	0.6006	C14H11O2+	[M+H]+	286.1438	NA
AU116602	C4H6N2S	pos	2	115.0334	6556	100	C4H7N2S+	[M+H]+	115.0324	[M+H]+
AU116606	C4H6N2S	pos	2	115.0334	39940	100	C4H7N2S+	[M+H]+	115.0324	[M+H]+
AU116606	C4H6N2S	pos	2	116.0365	2808	7.007007	C3[13]CH7N2S+	[M+H]+	115.0324	NA
AU116606	C4H6N2S	pos	2	117.0293	2596	6.406406	C4H7N2[34]S+	[M+H]+	115.0324	NA
